match_id,num_assists,opponent,player,season_id
267492.0,1.0,Deportivo La Coruna,Neymar da Silva Santos Junior,2.0
267596.0,1.0,Leganés,Luis Alberto Suárez Díaz,2.0
266498.0,1.0,Getafe,Arda Turan,27.0
266310.0,1.0,Deportivo La Coruna,Luis Alberto Suárez Díaz,27.0
267576.0,1.0,Atlético Madrid,Jordi Alba Ramos,27.0
266653.0,1.0,Rayo Vallecano,Sergio Busquets i Burgos,27.0
266653.0,1.0,Rayo Vallecano,Neymar da Silva Santos Junior,27.0
265894.0,1.0,Málaga,Adriano Correia Claro,27.0
266885.0,1.0,Real Sociedad,Neymar da Silva Santos Junior,27.0
266815.0,2.0,Sporting Gijón,Luis Alberto Suárez Díaz,27.0
266620.0,1.0,Granada,Luis Alberto Suárez Díaz,27.0
266620.0,1.0,Granada,Arda Turan,27.0
266056.0,1.0,Eibar,Munir El Haddadi Mohamed,27.0
267327.0,1.0,Real Betis,Neymar da Silva Santos Junior,27.0
266166.0,1.0,Atlético Madrid,Luis Alberto Suárez Díaz,27.0
266490.0,1.0,Levante,Marc Bartra Aregall,27.0
266557.0,1.0,Valencia,Jordi Alba Ramos,27.0
265835.0,2.0,Sevilla,Neymar da Silva Santos Junior,26.0
265963.0,1.0,Getafe,Luis Alberto Suárez Díaz,26.0
266117.0,1.0,Granada,Daniel Alves da Silva,26.0
267197.0,1.0,Deportivo La Coruna,Rafael Alcântara do Nascimento,26.0
267197.0,1.0,Deportivo La Coruna,Neymar da Silva Santos Junior,26.0
265896.0,1.0,Eibar,Neymar da Silva Santos Junior,26.0
265866.0,1.0,Córdoba,Daniel Alves da Silva,26.0
267400.0,1.0,Almería,Marc Bartra Aregall,26.0
267561.0,1.0,Rayo Vallecano,Gerard Piqué Bernabéu,26.0
267597.0,1.0,Villarreal,Luis Alberto Suárez Díaz,26.0
266794.0,1.0,Elche,Marc Bartra Aregall,26.0
267343.0,1.0,Granada,Luis Alberto Suárez Díaz,26.0
266631.0,1.0,Atlético Madrid,Pedro Eliezer Rodríguez Ledesma,26.0
266320.0,1.0,Espanyol,Pedro Eliezer Rodríguez Ledesma,26.0
266320.0,1.0,Espanyol,Luis Alberto Suárez Díaz,26.0
266320.0,1.0,Espanyol,Xavier Hernández Creus,26.0
266230.0,1.0,Deportivo La Coruna,Daniel Alves da Silva,26.0
266230.0,1.0,Deportivo La Coruna,Ivan Rakitić,26.0
266531.0,1.0,Espanyol,Luis Alberto Suárez Díaz,26.0
266921.0,1.0,Elche,Sergio Busquets i Burgos,26.0
266741.0,1.0,Levante,Pedro Eliezer Rodríguez Ledesma,26.0
266741.0,1.0,Levante,Marc Bartra Aregall,26.0
266967.0,1.0,Eibar,Ivan Rakitić,26.0
266142.0,1.0,Sevilla,Neymar da Silva Santos Junior,26.0
70301.0,1.0,Sevilla,Neymar da Silva Santos Junior,25.0
70298.0,2.0,Valencia,Francesc Fàbregas i Soler,25.0
70298.0,1.0,Valencia,Neymar da Silva Santos Junior,25.0
267520.0,1.0,Real Sociedad,Neymar da Silva Santos Junior,25.0
70289.0,1.0,Villarreal,Francesc Fàbregas i Soler,25.0
267675.0,1.0,Sevilla,Pedro Eliezer Rodríguez Ledesma,25.0
267675.0,1.0,Sevilla,Andrés Iniesta Luján,25.0
266074.0,1.0,Osasuna,Andrés Iniesta Luján,25.0
266074.0,1.0,Osasuna,Daniel Alves da Silva,25.0
266074.0,1.0,Osasuna,Alexis Alejandro Sánchez Sánchez,25.0
266274.0,1.0,Celta Vigo,Andrés Iniesta Luján,25.0
265918.0,1.0,Rayo Vallecano,Francesc Fàbregas i Soler,25.0
265918.0,1.0,Rayo Vallecano,Alexis Alejandro Sánchez Sánchez,25.0
70277.0,1.0,Levante,Pedro Eliezer Rodríguez Ledesma,25.0
266491.0,1.0,Getafe,Daniel Alves da Silva,25.0
265837.0,1.0,Real Sociedad,Sergio Busquets i Burgos,25.0
266420.0,1.0,Almería,Pedro Eliezer Rodríguez Ledesma,25.0
266015.0,1.0,Real Valladolid,Xavier Hernández Creus,24.0
70281.0,1.0,Real Betis,Alexis Alejandro Sánchez Sánchez,24.0
266724.0,1.0,Mallorca,Sergio Busquets i Burgos,24.0
266724.0,1.0,Mallorca,Alexis Alejandro Sánchez Sánchez,24.0
70272.0,1.0,Real Madrid,Daniel Alves da Silva,24.0
70304.0,2.0,Deportivo La Coruna,Francesc Fàbregas i Soler,24.0
70280.0,2.0,Levante,Andrés Iniesta Luján,24.0
70296.0,1.0,Atlético Madrid,Alexis Alejandro Sánchez Sánchez,24.0
70297.0,1.0,Getafe,Thiago Alcântara do Nascimento,24.0
70256.0,1.0,Celta Vigo,Cristian Tello Herrera,24.0
70259.0,1.0,Real Sociedad,Pedro Eliezer Rodríguez Ledesma,24.0
70259.0,1.0,Real Sociedad,Cristian Tello Herrera,24.0
70260.0,1.0,Osasuna,David Villa Sánchez,24.0
70260.0,1.0,Osasuna,Xavier Hernández Creus,24.0
70260.0,1.0,Osasuna,Adriano Correia Claro,24.0
70263.0,1.0,Athletic Club,Pedro Eliezer Rodríguez Ledesma,24.0
70263.0,1.0,Athletic Club,Xavier Hernández Creus,24.0
70276.0,1.0,Rayo Vallecano,Francesc Fàbregas i Soler,24.0
70276.0,1.0,Rayo Vallecano,Martín Montoya Torralbo,24.0
70287.0,1.0,Real Sociedad,Francesc Fàbregas i Soler,24.0
70309.0,1.0,Real Zaragoza,Martín Montoya Torralbo,24.0
70309.0,1.0,Real Zaragoza,Jordi Alba Ramos,24.0
