assists_by,assists_for,match_id,minutes_played,num_assists,num_goals,num_nutmegs,opponent,season_id
{},{'Luis Alberto Suárez Díaz': 1},303715.0,90.0,1.0,0.0,0.0,Leganés,42.0
{},{'Antoine Griezmann': 1},303377.0,90.0,1.0,0.0,0.0,Getafe,42.0
{'Luis Alberto Suárez Díaz': 1},{},303524.0,90.0,0.0,1.0,2.0,Atlético Madrid,42.0
{'Luis Alberto Suárez Díaz': 1},{},303517.0,90.0,0.0,1.0,0.0,Deportivo Alavés,42.0
{'Arturo Erasmo Vidal Pardo': 1},{},303610.0,90.0,0.0,1.0,1.0,Granada,42.0
{},{},303473.0,90.0,0.0,1.0,0.0,Sevilla,42.0
{},{'Philippe Coutinho Correia': 1},15998.0,90.0,1.0,0.0,0.0,Leganés,4.0
{'Luis Alberto Suárez Díaz': 1},{'Philippe Coutinho Correia': 1},16029.0,90.0,1.0,1.0,0.0,Sevilla,4.0
{},{'Ousmane Dembélé': 1},16073.0,90.0,1.0,0.0,1.0,Atlético Madrid,4.0
{},{'Ousmane Dembélé': 1},16086.0,90.0,1.0,2.0,1.0,Espanyol,4.0
"{'Ousmane Dembélé': 1, 'Ivan Rakitić': 1}",{'Luis Alberto Suárez Díaz': 1},16190.0,90.0,1.0,3.0,0.0,Sevilla,4.0
{'Jordi Alba Ramos': 1},{},16109.0,90.0,0.0,1.0,0.0,Celta Vigo,4.0
{},{},16120.0,90.0,0.0,1.0,0.0,Getafe,4.0
{},{},16182.0,90.0,0.0,1.0,0.0,Real Valladolid,4.0
"{'Ivan Rakitić': 1, 'Luis Alberto Suárez Díaz': 1}",{},16215.0,90.0,0.0,3.0,0.0,Real Betis,4.0
{},{},16173.0,90.0,0.0,0.0,1.0,Athletic Club,4.0
{},{'Jordi Alba Ramos': 1},16265.0,90.0,1.0,0.0,0.0,Real Sociedad,4.0
{'Luis Alberto Suárez Díaz': 1},{},15946.0,90.0,0.0,2.0,0.0,Deportivo Alavés,4.0
{'Arturo Erasmo Vidal Pardo': 1},{},16157.0,90.0,0.0,2.0,0.0,Valencia,4.0
{'Jordi Alba Ramos': 1},{},16136.0,27.0,0.0,1.0,0.0,Leganés,4.0
{},{},16248.0,90.0,0.0,1.0,0.0,Atlético Madrid,4.0
{'Arturo Erasmo Vidal Pardo': 1},{},16056.0,90.0,0.0,2.0,2.0,Real Betis,4.0
{'Arturo Erasmo Vidal Pardo': 1},{},16289.0,45.0,0.0,1.0,0.0,Levante,4.0
{},{'Carles Aleña Castillo': 1},16079.0,90.0,1.0,0.0,0.0,Villarreal,4.0
{'Jordi Alba Ramos': 1},{},16149.0,90.0,0.0,1.0,0.0,Girona,4.0
{},{},16275.0,30.0,0.0,0.0,0.0,Deportivo Alavés,4.0
"{'Philippe Coutinho Correia': 1, 'Ivan Rakitić': 1}","{'Ivan Rakitić': 1, 'Jordi Alba Ramos': 1}",15973.0,90.0,2.0,2.0,0.0,Huesca,4.0
"{'Ivan Rakitić': 1, 'Arturo Erasmo Vidal Pardo': 1}",{},16317.0,90.0,0.0,2.0,0.0,Eibar,4.0
{'Luis Alberto Suárez Díaz': 1},{},16131.0,90.0,0.0,1.0,1.0,Eibar,4.0
{},{'Gerard Piqué Bernabéu': 1},16205.0,90.0,1.0,1.0,1.0,Rayo Vallecano,4.0
"{'Arturo Erasmo Vidal Pardo': 1, 'Sergio Busquets i Burgos': 1}","{'Luis Alberto Suárez Díaz': 1, 'Gerard Piqué Bernabéu': 1}",16095.0,90.0,2.0,3.0,0.0,Levante,4.0
{},{},16306.0,90.0,0.0,0.0,0.0,Getafe,4.0
{},{'Munir El Haddadi Mohamed': 1},16010.0,36.0,1.0,0.0,1.0,Athletic Club,4.0
{'Arturo Erasmo Vidal Pardo': 1},{},15986.0,90.0,0.0,1.0,0.0,Girona,4.0
{},{},16240.0,30.0,0.0,1.0,1.0,Villarreal,4.0
{},{},15978.0,90.0,0.0,0.0,0.0,Real Sociedad,4.0
{'Luis Alberto Suárez Díaz': 1},{},16023.0,90.0,0.0,1.0,0.0,Valencia,4.0
{},{},16196.0,90.0,0.0,0.0,0.0,Real Madrid,4.0
{},{},15956.0,90.0,0.0,0.0,0.0,Real Valladolid,4.0
{'Malcom Filipe Silva de Oliveira': 1},{},16231.0,90.0,0.0,2.0,0.0,Espanyol,4.0
{'Ousmane Dembélé': 1},{},9855.0,90.0,0.0,1.0,0.0,Athletic Club,1.0
{},{},9827.0,90.0,0.0,1.0,1.0,Las Palmas,1.0
{},{'Luis Alberto Suárez Díaz': 1},9799.0,90.0,1.0,0.0,0.0,Eibar,1.0
"{'Denis Suárez Fernández': 1, 'Luis Alberto Suárez Díaz': 1}",{'Sergio Busquets i Burgos': 1},9636.0,90.0,1.0,2.0,0.0,Las Palmas,1.0
"{'Sergio Busquets i Burgos': 1, 'Aleix Vidal Parreu': 1, 'José Paulo Bezzera Maciel Júnior': 1}",{},9609.0,90.0,0.0,4.0,0.0,Eibar,1.0
{},{},9575.0,90.0,0.0,0.0,1.0,Real Betis,1.0
{'Andrés Iniesta Luján': 1},{},9928.0,90.0,0.0,1.0,0.0,Villarreal,1.0
{},{'Aleix Vidal Parreu': 1},9736.0,90.0,1.0,1.0,0.0,Real Madrid,1.0
{'Jordi Alba Ramos': 1},{'José Paulo Bezzera Maciel Júnior': 1},9742.0,90.0,1.0,1.0,0.0,Levante,1.0
"{'Luis Alberto Suárez Díaz': 1, 'Sergio Busquets i Burgos': 1}",{'Luis Alberto Suárez Díaz': 1},9765.0,90.0,1.0,2.0,1.0,Real Betis,1.0
{},{},9880.0,90.0,0.0,0.0,0.0,Valencia,1.0
{'Luis Alberto Suárez Díaz': 1},{},9924.0,90.0,0.0,1.0,0.0,Real Madrid,1.0
{'Jordi Alba Ramos': 1},{},9661.0,90.0,0.0,1.0,0.0,Athletic Club,1.0
"{'Jordi Alba Ramos': 2, 'Ivan Rakitić': 1}",{},9592.0,90.0,0.0,3.0,1.0,Espanyol,1.0
"{'Ousmane Dembélé': 1, 'Philippe Coutinho Correia': 1}",{},9870.0,90.0,0.0,3.0,0.0,Leganés,1.0
{},{'Gerard Piqué Bernabéu': 1},9783.0,33.0,1.0,0.0,0.0,Espanyol,1.0
{'José Paulo Bezzera Maciel Júnior': 1},{},9700.0,90.0,0.0,1.0,2.0,Celta Vigo,1.0
{'Philippe Coutinho Correia': 1},{},9860.0,33.0,0.0,1.0,0.0,Sevilla,1.0
{},{'Jordi Alba Ramos': 1},9695.0,90.0,1.0,0.0,0.0,Valencia,1.0
{},{},9794.0,90.0,0.0,0.0,0.0,Getafe,1.0
{'Sergio Busquets i Burgos': 1},{},9717.0,90.0,0.0,1.0,1.0,Villarreal,1.0
{},{},9673.0,90.0,0.0,0.0,0.0,Sevilla,1.0
{},{'Andrés Iniesta Luján': 1},9650.0,90.0,1.0,0.0,0.0,Málaga,1.0
{},{},9620.0,90.0,0.0,0.0,0.0,Girona,1.0
{},{},9837.0,90.0,0.0,1.0,0.0,Atlético Madrid,1.0
{'Luis Alberto Suárez Díaz': 3},{},9912.0,90.0,0.0,3.0,0.0,Deportivo La Coruna,1.0
{'Luis Alberto Suárez Díaz': 1},{'Luis Alberto Suárez Díaz': 1},9811.0,90.0,1.0,2.0,0.0,Girona,1.0
